Plate Hex Color Key:

Layer|Layer_Name|Hex_Color
Layer1|"Plate Boundries"|00000083
Layer2|"Plate Directions"|000000E1
Layer3|"Central Plate"|F5FF0083
Layer4|"Northern Archipelago Plate"|00FFE483
Layer5|"Southern Archipelago Plate"|AA00FF83
Layer6|"Deep Ocean Plate"|0014FF83
Layer7|"Midlands Plate"|833A7383
Layer8|"Westlands Plate"|57F50083
Layer9|"Greaterlands Plate|FF008083
Layer10|"Northern Plate"|F5000083
Layer11|"Lessorland Plate"|FF720083
Layer12|"Southern Plate"|33F35683
Layer13|"Background"|FFFFFFFF
